"","x"
"1"," chinese fire drill "
"2","abusive cycle"
"3","action assembly theory"
"4","active"
"5","adoption"
"6","age 17 19"
"7","aggresion towards objects"
"8","aggressive"
"9","alcohol use"
"10","alienation"
"11","alloplastic adaptation"
"12","always and  never  statements"
"13","ambitious"
"14","anger"
"15","animal abuse"
"16","animal spirits"
"17","argumentative"
"18","asccismus"
"19","assault with gun"
"20","assault with knife"
"21","assertive"
"22","attention deficit hyperactivity disorder"
"23","attention seeking"
"24","attitude change"
"25","autoplastic defense mechanism"
"26","avoidance"
"27","avoidance coping"
"28","bad coping"
"29","bad habit"
"30","baiting"
"31","beat"
"32","beat up"
"33","behavior"
"34","behavior change"
"35","behavioral confirmation"
"36","behavioral contagion"
"37","behavioral modernity"
"38","behavioral urbanism"
"39","belittle partner"
"40","belittling  condescending and patronizing"
"41","bend fingers"
"42","binge drinking"
"43","bite"
"44","blaming"
"45","bomb making"
"46","boreout"
"47","bossy"
"48","break up with girlfriend"
"49","breastfeeding"
"50","brodie s law"
"51","bullied"
"52","bullying"
"53","burn"
"54","calculus of concepts"
"55","careless"
"56","catastrophizing"
"57","cautious"
"58","chaos manufacture"
"59","cheating"
"60","checking phone without permission"
"61","choke"
"62","chronic broken promises"
"63","cigarette use"
"64","circular conversations"
"65","civil inattention"
"66","close minded"
"67","clothing change"
"68","coerced sex"
"69","cold feet"
"70","communication theory"
"71","conceited"
"72","conduct disorder"
"73","confirmation bias"
"74","conscientious"
"75","consistently argue with parents"
"76","control partner"
"77","control me syndrome"
"78","controlling"
"79","coping"
"80","creative"
"81","cruelty to animals"
"82","cultural divide"
"83","cultural mediation"
"84","cultural universal  also  human universal "
"85","curious"
"86","cursory"
"87","cutting in line"
"88","death obsessed music"
"89","deceitful"
"90","defiant"
"91","delusion"
"92","demand sex"
"93","denial"
"94","dependency"
"95","depression"
"96","dissociation"
"97","docile"
"98","does not listen to adults"
"99","domestic abuse"
"100","domestic theft"
"101","domestic violence"
"102","domineering"
"103","drunk"
"104","dump out of car"
"105","early childhood abuse"
"106","easily frustrated"
"107","emotional abuse"
"108","emotional blackmail"
"109","emotional outburst"
"110","engulfment"
"111","escape to fantasy"
"112","excess fear"
"113","excessive jealousy"
"114","excessive worry about weight gain"
"115","explosive anger"
"116","explosive temper"
"117","express harming in media"
"118","expulsion"
"119","extreme insecurity"
"120","extreme jealousy"
"121","extremist view"
"122","extrovert"
"123","extroverted"
"124","failing school"
"125","false accusations"
"126","family conflict"
"127","fast paced high energy"
"128","favoritism and scapegoating"
"129","fear of abandonment"
"130","feelings of emptiness"
"131","feels inferior"
"132","few friends"
"133","force intercourse"
"134","force kiss"
"135","force penetration"
"136","force sex"
"137","force touch"
"138","frequent pornography usage"
"139","friends with other aggresive children"
"140","frivolous litigation"
"141","gang"
"142","gaslighting"
"143","grab clothing"
"144","grab face"
"145","grooming"
"146","gun owner family"
"147","hair pull"
"148","harassment"
"149","harmful"
"150","high functioning personality disorder"
"151","hit"
"152","hit wall"
"153","hoarding"
"154","hold against wall"
"155","hold minded"
"156","holiday triggers"
"157","hoovers   hoovering"
"158","hospitalized for psychiatric reasons"
"159","human universal  also  cultural universal "
"160","humiliate"
"161","humiliate partner"
"162","hurt"
"163","hysteria"
"164","identity disturbance"
"165","illicit drug use"
"166","imposed isolation"
"167","impulsive"
"168","impulsiveness"
"169","inadequate physical activity"
"170","inappropriate touch"
"171","inconsiderate"
"172","independent"
"173","indirect"
"174","infantilization"
"175","injure"
"176","insecurity"
"177","insult"
"178","insult boyfriend"
"179","insult girlfriend"
"180","insult partner"
"181","intimate partner violence"
"182","intimidate"
"183","intimidation"
"184","introvert"
"185","introverted"
"186","invalidation"
"187","inventive"
"188","irritating"
"189","isolate partner from family"
"190","isolate partner from friends"
"191","isolation"
"192","jealousy"
"193","kick"
"194","kick door"
"195","kick furniture"
"196","kick wall"
"197","lack of conscience"
"198","lack of object constancy"
"199","lack of persistency"
"200","low achievement orientation"
"201","low ambition"
"202","low communication"
"203","low empathy"
"204","low family income"
"205","low functioning personality disorder"
"206","low innovation"
"207","low interest in education"
"208","low self esteem"
"209","magical thinking"
"210","making fun"
"211","manic"
"212","manipulation"
"213","manipulative"
"214","manipulative coercion"
"215","many sexual partners"
"216","masking"
"217","mean notes"
"218","military clothes"
"219","mirroring"
"220","moments of clarity"
"221","mood swings"
"222","moody"
"223","moralistic"
"224","munchausen s and munchausen by proxy syndrome"
"225","name calling"
"226","narcissism"
"227","neglect"
"228","nervous"
"229","nervous excited"
"230","no win scenarios"
"231","nonverbal intimidation"
"232","normalizing"
"233","not my fault syndrome"
"234","not using seatbelts"
"235","objectification"
"236","obsessed with guns"
"237","obsessive compulsive behavior"
"238","oppositional defiant disorder"
"239","ostracizing"
"240","panic attacks"
"241","paranoia"
"242","parent death"
"243","parental alienation syndrome"
"244","parentification"
"245","participation in group sex"
"246","passive"
"247","passive aggression"
"248","passive aggressive behavior"
"249","pathological lying"
"250","perfectionism"
"251","perfectionist"
"252","persistent nightmares"
"253","physical abuse"
"254","physical violence"
"255","poor adaptation flexibility"
"256","poor detail orientation"
"257","poor grades"
"258","poor intuition"
"259","poor leader"
"260","poor mental health score"
"261","poor persuasive ability"
"262","poor team player"
"263","pornography use"
"264","possess firearm"
"265","possessive"
"266","possessiveness"
"267","pragmatic"
"268","proactive"
"269","projection"
"270","prolonged emotional states"
"271","proxy recruitment"
"272","psychological distress"
"273","psychosomatic disorders"
"274","push"
"275","push out of car"
"276","push partner"
"277","push pull"
"278","put partner down"
"279","raging  violence and impulsive aggression"
"280","random violence"
"281","ranking and comparing"
"282","rape"
"283","reactive"
"284","rejected by peers"
"285","relationship hyper vigilance"
"286","reserved"
"287","ridicule"
"288","riding the emotional elevator"
"289","risk taker"
"290","robbery"
"291","routine oriented"
"292","rude"
"293","sabotage"
"294","scapegoating"
"295","school suspension"
"296","scratch"
"297","scream at girlfriend"
"298","selective competence"
"299","selective memory and selective amnesia"
"300","self aggrandizement"
"301","self harm"
"302","self loathing"
"303","self oriented"
"304","self victimization"
"305","sense of entitlement"
"306","serious"
"307","sexual assault"
"308","sexual coercion"
"309","sexual compulsivity"
"310","sexual harassment"
"311","sexual objectification"
"312","sexually active"
"313","sexually explicit material"
"314","shaming"
"315","shy"
"316","silent treatment"
"317","single parent"
"318","situational ethics"
"319","slam against wall"
"320","slap"
"321","sleep deprivation"
"322","smoking"
"323","socially withdrawn"
"324","spend more time with friends"
"325","spiteful"
"326","splitting"
"327","spread hurtful rumor"
"328","stalking"
"329","strangle"
"330","stress intolerant"
"331","stunted emotional growth"
"332","subject to negative acts they can t defend against"
"333","substance use"
"334","sudden change in sleep habbit"
"335","sudden weight change"
"336","suicidal"
"337","suspensions"
"338","swear at partner"
"339","take drug"
"340","targeted humor  mocking and sarcasm"
"341","tell cruel story"
"342","temper tantrums"
"343","terminal uniqueness"
"344","terrorize partner"
"345","testing"
"346","the abuser profile"
"347","thought policing"
"348","thoughtless"
"349","threat"
"350","threat partner"
"351","threats"
"352","throw something"
"353","twist arm"
"354","un conventional thinker"
"355","uncooperative"
"356","undependable"
"357","undiplomatic"
"358","unprotected sex"
"359","unwanted sexual touch"
"360","victim"
"361","visible prolonged sadness"
"362","weak school bond"
"363","weak social ties"
"364","weapon use"
"365","yell at girlfriend"
"366","leather jacket"
"367","disruptive behavior"
"368","vandalism"
"369","problems with authority"
"370","concentration issues"
